GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
reciprocal,reciprocal.linear.vector,LongVector.LongVectorBuilder,0,16,0,0,0,3,0,3,0,3
reciprocal,reciprocal.linear.vector,BigIntegerVector.BigIntegerVectorBuilder,0,15,0,0,0,3,0,3,0,3
reciprocal,reciprocal.linear.vector,BigDecimalVector,2,546,2,18,0,72,2,47,0,39
reciprocal,reciprocal.linear.vector,LongVector,1,262,1,9,0,27,1,22,0,18
reciprocal,reciprocal.linear.vector,BigIntegerVector,1,252,1,9,0,34,1,23,0,19
reciprocal,reciprocal.linear.vector,DoubleVector.DoubleVectorBuilder,0,16,0,0,0,3,0,3,0,3
reciprocal,reciprocal.linear.vector,AbstractVector,0,247,0,22,0,35,0,27,0,16
reciprocal,reciprocal.linear.vector,AbstractVector.AbstractVectorBuilder,14,131,3,7,0,22,4,13,2,10
reciprocal,reciprocal.linear.vector,AbstractMathContextVector,0,92,0,6,0,14,0,7,0,4
reciprocal,reciprocal.linear.vector,VectorEntry,0,39,0,2,0,7,0,4,0,3
reciprocal,reciprocal.linear.vector,BigDecimalVector.BigDecimalVectorBuilder,0,15,0,0,0,3,0,3,0,3
reciprocal,reciprocal.linear.vector,DoubleVector,1,256,1,9,0,28,1,22,0,18
reciprocal,reciprocal.number.complex,Gaussian,28,407,0,10,2,50,2,26,2,21
reciprocal,reciprocal.number.complex,BigComplex,0,678,0,16,0,96,0,41,0,33
reciprocal,reciprocal.number.complex,PolarForm,0,31,0,4,0,4,0,4,0,2
reciprocal,reciprocal.number.complex,BigGaussian,7,558,0,16,1,81,1,34,1,26
reciprocal,reciprocal.number.complex,AbstractComplex,0,124,0,14,0,24,0,23,0,16
reciprocal,reciprocal.number.complex,BigPolarForm,0,29,0,4,0,4,0,4,0,2
reciprocal,reciprocal.number.complex,AbstractPolarForm,56,29,10,2,8,7,8,5,3,4
reciprocal,reciprocal.number.complex,Complex,14,369,0,10,1,44,1,26,1,21
reciprocal,reciprocal.number.fraction,Fraction.FractionComparator,0,27,0,4,0,8,0,4,0,2
reciprocal,reciprocal.number.fraction,AbstractFraction,104,204,8,28,22,35,21,29,15,17
reciprocal,reciprocal.number.fraction,BigFraction,322,31,19,1,44,8,31,3,21,3
reciprocal,reciprocal.number.fraction,Fraction,8,419,0,24,0,51,1,36,1,24
reciprocal,reciprocal.number.fraction,BigFraction.BigFractionComparator,27,0,4,0,8,0,4,0,2,0
reciprocal,reciprocal.geometry.rectangle,Rectangle,0,120,0,10,0,13,0,11,0,6
reciprocal,reciprocal.geometry.rectangle,AbstractRectangle,0,77,0,10,0,14,0,11,0,6
reciprocal,reciprocal.geometry.rectangle,BigRectangle,0,124,0,10,0,15,0,12,0,7
reciprocal,reciprocal,ReciprocalUtils,0,7,0,0,0,2,0,1,0,1
reciprocal,reciprocal,ReciprocalContext,11,2,0,0,2,1,0,1,0,1
reciprocal,reciprocal.linear.matrix,AbstractMatrix,244,0,30,0,33,0,34,0,19,0
reciprocal,reciprocal.linear.matrix,MatrixEntry,0,79,0,8,0,11,0,8,0,4
reciprocal,reciprocal.geometry.circle,AbstractCircle,25,26,5,1,5,7,4,4,1,4
reciprocal,reciprocal.geometry.circle,Circle.CircleComparator,0,21,0,0,0,4,0,2,0,2
reciprocal,reciprocal.geometry.circle,Circle,1,49,1,1,0,8,1,5,0,5
reciprocal,reciprocal.geometry.circle,BigCircle.BigCircleComparator,0,21,0,0,0,4,0,2,0,2
reciprocal,reciprocal.geometry.circle,BigCircle,1,42,1,1,0,8,1,5,0,5
reciprocal,reciprocal.polynomial,AbstractPolynomial,122,0,18,0,22,0,21,0,12,0
reciprocal,reciprocal.random,AbstractRandom,14,29,0,0,3,9,0,5,0,5
reciprocal,reciprocal.random,BigIntegerRandom,114,12,12,0,14,5,13,3,7,3
